ArtistID,ArtistName,LoginID,Password,TotalSongs,UsersFollowing,ArtistBio,Payment
40,"Achal Mehta",yabkahupf,dhcvcatwe,1,118,"Achal Mehta is a veteran Garba artist who performs mostly in Baroda, Gujarat. He has produced a number of Garba albums",7542200
41,"Daler Mehndi",nsnvbpbog,hgohwbazb,1,9,"Daler Singh (born 18 August 1967), better known as Daler Mehndi, is an Indian singer, songwriter, author and record producer.",5821029
42,"Sukhwinder Singh",qtditywfa,esakoykcj,3,152,"Sukhwinder Singh (born 18 July 1971) is an internationally acclaimed Indian Bollywood playback singer. Singh is famous internationally for singing Jai Ho from the film Slumdog Millionaire",9701208
43,"Malkit Singh",tjerpcifi,sevpipomp,3,50,"Malkit Singh,(Malkit Singh Boparai, born in 1963) is England based Punjabi bhangra singer. Born in Hussainpur and raised in Nakodar, he moved to Birmingham in 1984",7439611
44,"Gurdas Maan",iwpzpihin,suotdteml,3,181,"Gurdas Maan (born 4 January 1957) is an Indian singer, songwriter, choreographer and actor mainly associated with Punjabi language music and films. He gained national attention in 1980 with the song Dil Da Mamla Hai",2699784
45,"Guru Randhawa",jgubzgibh,yrzciecar,3,199,"Gursharanjot Singh Randhawa (born 30 August 1991) is an Indian singer, songwriter and music composer associated with Punjabi, Bhangra, Indi pop and Bollywood music",4221972
46,"Jasdeep Singh Gill",kmcjxjvwe,vulhxdbvw,2,60,"Jasdeep Singh Gill is an Indian singer and actor mainly associated with Punjabi music and films",2937325
47,Kesha,oaqbayvev,wkpcavotr,3,8,"Kesha Rose Sebert known mononymously as Kesha (formerly stylized Kesha), is an American singer, songwriter, rapper, and actress. In 2005, at age 18, Kesha was signed to Kemosabe Records",1108098
48,"Billie Eilish",yyhadvboe,cgtucqyci,5,94,"Billie Eilish Pirate Baird O Connell is an American singer and songwriter.",1176879
49,Halsey,nupnmapml,pvvyabfzt,4,70,"Ashley Nicolette Frangipane known professionally as Halsey is an American singer and songwriter.She was signed by Astralwerks in 2014 and released her debut EP, Room 93, later that year",3692807
50,"Tove Lo",zlusobfgm,ezneielyw,2,144,"Ebba Tove Elsa Nilsson known professionally as Tove Lo is a Swedish singer and songwriter. Called Sweden darkest pop export by Rolling Stone, she is known for her raw, grunge influenced take on pop music",4796427
51,Krewella,ndkbrkiun,rdnadtgqa,3,134,"Krewella is an American electronic dance music band from Northbrook, Illinois, United States, that formed in 2007.Their musical style has been mainly described as EDM dance rock and dance pop",1627373
52,"Tame Impala",dxoerhkxd,fnjqvzhva,2,83,"Tame Impala is an Australian psychedelic rock project led by multi instrumentalist Kevin Parker,[4] who writes, records, performs, and produces the music",793641
53,"The Weekend",djeaocglo,ikyehwhtt,4,79,"Abel Makkonen Tesfaye (born February 16, 1990), better known by his stage name The Weeknd, is a Canadian singer, songwriter, actor and record producer",6688641
54,"Selena Gomez",mzgntiwhz,qtsocjtcx,1,117,"Selena Marie Gomez (born July 22, 1992) is an American singer, songwriter, actress, and television produce",526783
55,Adele,wdugabovn,gdrcmdxcj,3,92,"Adele Laurie Blue Adkins MBE is an English singer songwriter. After graduating from the BRIT School in 2006, Adele signed a recording contract with XL Recordings",3006476
56,Akon,yxbcobxey,nkudttjyv,3,67,"Aliaune Damala Bouga Time Puru Nacka Lu Lu Lu Badara Akon Thiam is a Senegalese American singer, songwriter, record producer, entrepreneur, philanthropist and actor",5068318
57,"Alan Walker",svzbmxinn,atjgieyep,1,47,"Alan Olav Walker Bea is transexual (born 24 August 1997) is a British born Norwegian DJ and record producer",2907246
58,"Calvin Harris",ynpdeloim,dqcltaiqv,2,124,"Adam Richard Wiles (born 17 January 1984), known professionally as Calvin Harris, is a Scottish DJ, record producer, singer, and songwriter",370103
59,"Ariana Grande",adfumhqdq,ajdmuasfe,3,116,"Ariana Grande Butera (born June 26, 1993) is an American singer, songwriter, and actress. Born in Boca Raton",7020460
60,Avicii,oaxbmljyk,nboypekla,2,51,"Tim Bergling (8 September 1989 to 20 April 2018), known professionally as Avic, was a Swedish DJ, electronic musician, and songwriter who specialized in audio programming, remixing and record producing",6928410
61,"Rita Ora",eqddteskq,jzgvojjad,1,5,"Rita Sahatciu Ora (born Rita Sahatciu; 26 November 1990) is an English singer, songwriter and actress",5363879
62,Drake,ftcufkxgk,hbulbthuc,3,180,"Aubrey Drake Graham[11] (born October 24, 1986) is a Canadian rapper, singer, songwriter, producer, actor, and businessman",5919417
63,Khalid,icbltyomm,vftxirsnq,2,92,"Khalid Donnel Robinson (born February 11, 1998) is an American singer and songwriter. He is signed to Right Hand Music Group and RCA Records",6946173
64,"Bon Iver",ppsmhqpmp,vbnlmyfif,1,123,"Bon Iver is an American indie folk band founded in 2006 by singer songwriter Justin Vernon",7279021
65,"Bon Jovi",hsgoyhhtx,cmvjhafdy,2,162,"Richie Sambora Bon Jovi is an American rock band formed in 1983 in Sayreville, New Jersey",5826820
66,"Bryan Adams",oqqncxkhv,sajscnumq,3,89,"Bryan Guy Adams OC OBC (born 5 November 1959) is a Canadian singer, songwriter, record producer, guitarist, photographer, philanthropist, and activist.",5356892
67,"Enrique Iglesias",izjwuaytj,gdtmzqmzl,2,101,"Bryan Guy Adams OC OBC (born 5 November 1959) is a Canadian singer, songwriter, record producer, guitarist, photographer, philanthropist, and activist",8415940
68,"Katy Perry",szsljkhqo,pjgtzqkya,2,79,"Enrique Miguel Iglesias Preysler (born 8 May 1975) is a Spanish Filipino singer, songwriter, actor and record producer who is widely regarded as the King of Latin Pop",7513141
69,"Jennifer Lopez",yqvcmucjq,gcnbxbbav,1,136,"Katheryn Elizabeth Hudson (born October 25, 1984), known professionally as Katy Perry, is an American singer, songwriter, and television judge. After singing in church during her childhood, she pursued a career in gospel music as a teenager.",2581749
70,"Dua Lipa",rmxsslevo,pgfjvojdw,2,76,"Jennifer Lynn Lopez[2] (born July 24, 1969), also known by her nickname J.Lo, is an American actress, singer, dancer, fashion designer, producer and businesswoman.",6922413
71,Rihanna,jckkguyag,rkdqjraum,2,38,"Dua Lipa is an English singer, songwriter and model. After working as a model, she signed with Warner Music Group in 2015 and released her eponymous debut album in 2017",6308415
72,"Michael Jackson",zxosgvmdn,zwvfslske,1,196,"Robyn Rihanna Fenty is a Barbadian singer, songwriter, and businesswoman, who has been recognized for embracing various musical styles and reinventing her image throughout her career.",6923712
73,"Taylor Swift",ladyhzquh,hdnagsprk,2,1,"Michael Joseph Jackson was an American singer, songwriter, and dancer.",6960897
74,"Lady Gaga",qqfzlhyej,wiqzpfxjb,2,161,"Taylor Alison Swift is an American singer songwriter. She is known for narrative songs about her personal life, which have received widespread media coverage.",709812
75,"Camila Cabello",lxsehcqmt,fchkgyekd,2,19,"Stefani Joanne Angelina Germanotta, known professionally as Lady Gaga, is an American singer, songwriter, and actress.",5289869
76,"The Chainsmokers",jemyvkdbc,lncqonmgl,2,140,"Karla Camila Cabello Estrabao is a Cuban American singer, songwriter, and actress. ",9726054
77,"Daft Punk",hmvbqojiv,dbqphhvsw,1,163,"The Chainsmokers are an American electronic DJ and production duo consisting of Alexander Alex Pall and Andrew Drew Taggart. They started out by releasing remixes of songs by indie artists.",4708558
78,"DJ Snake",mpfmgsfar,kduvhdhxy,0,195,"Daft Punk is a French electronic music duo formed in Paris in 1993 by Guy Manuel de Homem Christo and Thomas Bangalter.",2991797
79,Foreigner,aytuipfma,mcztcgqfm,0,12,"William Sami Etienne Grigahcine, known professionally as DJ Snake, is a French DJ, record producer, and music programmer from Paris.",8406470
80,"Cardi B",ihwesdlxg,tdcfcauqo,0,81,"Foreigner is a British-American rock band, originally formed in New York City & London in 1976 by veteran English musician and ex-Spooky Tooth member Mick Jones, and fellow Briton and ex-King Crimson member Ian McDonald along with American vocalist Lou Gramm.",308199
81,"Hot Chelle Rae",hzeubflby,yiyqfhuyy,0,136,"Belcalis Marlenis Almanzar, known professionally as Cardi B, is an American rapper, songwriter, television personality and actress. Born in Manhattan and raised in The Bronx, New York City.",1901581
82,"Imagine Dragons",fubupsjzt,vcwmgvqvf,0,148,"Hot Chelle Rae is an American rock band formed in Nashville, Tennessee, in 2005.",5695806
83,BTS,muiijcudq,vnswyxlkq,6,188,"Imagine Dragons is an American pop rock band from Las Vegas, Nevada, consisting of lead singer Dan Reynolds, lead guitarist Wayne Sermon, bassist Ben McKee, and drummer Daniel Platzman.",334641
84,PSY,dpykaadmc,sfzekbnwl,6,7,"BTS, also known as the Bangtan Boys, is a seven member South Korean boy band that began its formation in Seoul in 2010. The septet co writes and produces much of their output.",7105581
85,"Red Velvet",jnskhjpoe,yfdqvhhmv,6,172,"Park Jae sang, known professionally as Psy, stylized in all caps, is a South Korean singer, rapper, songwriter, and record producer. Psy is known domestically for his humorous videos and stage performances.",7642498
86,TWICE,gzxaqkasa,yaxkerpje,7,8,"Red Velvet is a South Korean girl group formed by SM Entertainment. The group debuted on August 1, 2014, with the digital single Happiness and four group members: Irene, Seulgi, Wendy, and Joy.",4501588
87,Queen,taeimlwpd,vldfqwnpa,3,31,"Twice is a South Korean girl group formed by JYP Entertainment through the 2015 reality show Sixteen. The group debuted on October 20, 2015, with the extended play The Story Begins.",558085
88,"pink floyd",payntxglh,srxaadfxv,4,124,"Queen are a British rock band formed in London in 1970. Their classic line up was Freddie Mercury (lead vocals, piano), Brian May (guitar, vocals), John Deacon (bass guitar), and Roger Taylor (drums, vocals).",5127124
89,"Led Zeppelin",bljqgfemi,eoluflmxq,3,103,"Pink Floyd were an English rock band formed in London in 1965. Gaining a following as a psychedelic rock group",6544255
90,"Guns n Roses",phifkflfx,luifdhftv,4,46,"Led Zeppelin were an English rock band formed in London in 1968. ",3927886
91,Aerosmith,lrtlcduzf,lnprkcgym,1,156,"Guns N Roses, often abbreviated as GNR, is an American hard rock band from Los Angeles, California, formed in 1985.",9460457
92,Coldplay,pwyhvadfl,jbxorqgrg,2,112,"Aerosmith is an American rock band formed in Boston, Massachusetts in 1970.",2628602
93,AC/DC,kjezmlsth,cykjklwdg,1,141,"Coldplay are a British rock band formed in London in 1996.",863907
94,Nirvana,fcbobdagj,nrdtnndzt,3,98,"AC/DC are an Australian rock band formed in Sydney in 1973 by Scottish born brothers Malcolm and Angus Young.",9826681
95,"The Smiths",joageluzt,rsgwrufwv,2,119,"Nirvana was an American rock band formed in Aberdeen, Washington in 1987.",588323
96,"John Legend",iozjlxdgd,fwgwopjyo,2,8,"The Smiths were an English rock band formed in Manchester in 1982.",3687842
97,"The Doors",wljwaezsu,rqizpusdn,1,142,"John Roger Stephens, known professionally as John Legend, is an American singer, songwriter, producer, actor, and philanthropist.",4115308
98,OneRepublic,mmwxijeay,xhwtaexcc,1,94," The Doors were an American rock band formed in Los Angeles in 1965, with vocalist Jim Morrison.",8127817
99,"Fall Out Boy",vffbrmgls,lwbqqdwgx,1,63,"OneRepublic is an American pop rock band formed in Colorado Springs, Colorado, in 2002. ",847693
100,"Justin Bieber",vdnooxuot,ipdfdbcdg,3,51,"Fall Out Boy is an American rock band formed in Wilmette, Illinois, a suburb of Chicago, in 2001.",3728117
